1809260002,7L1RLL 68b1e3af5f,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC c11b6d3748,DL4DTL 309ea008df,EA8BVP1 02e91e207f,EA8BVP2 6286bfee04,F6BAZ 3f4737b88f,G0MQW1 174619389b,G0MQW2 c4b16efc5d,G0MQW3 6a1edc2691,G3VYZ1 8928a0c209,G3VYZ2 025fb0e790,G3VYZ3 c1f36a8886,G3YXM-600m 42b2ca0f50,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 73dbcf06a9,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 0ebeba9e58,LA5GOA af1a734474,N2NXZ 898a344b66,OK1FCX 806ac586ec,ON4CDJ ca4e732d84,PA2OHH-30m 10db503170,PA2OHH-40m 9e60132647,S52AS eb6912e00f,SA6BSS1 e5976eb70c,SA6BSS2 a626e1c1b8,SA6BSS3 0f8fb05d61,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC a19ca38e5c,VK3EDW f4b3d214f6,VK2DDI 895372d28b,VE7IGH ae3bd544e5,WD4AH 29b1a9b2cd,WD4ELG-20 501f613abd,WD4ELG-30 79e21d4058,WD4ELG-40 f7e5493043,WD4ELG-80 521a54b2ee,WD4ELG-160 182e50dbd6,W4HBK1 307da7ba03,W4HBK2 4c8251e969,WA5DJJ-10m a5e8671525,WA5DJJ-12m a3d8318e23,WA5DJJ-15m 62bfe9b63a,WA5DJJ-17m 11507e7aa0,WA5DJJ-20m d86b685886,WA5DJJ-30m d002f8f11b,WA5DJJ-40m 464cc7692a,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 8787721cb5,WA5DJJ-160m e4030d933b,WA5DJJ-630m 008a6a7382,ZL2IK1 83e6ba051a,ZL2IK2 5522b9cdc3
1809260012,7L1RLL c696c5400f,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP d41d8cd98f,DK7FC 8f4de5c6ec,DL4DTL 61cd2c18d7,EA8BVP1 0aeadff15e,EA8BVP2 6286bfee04,F6BAZ 3f4737b88f,G0MQW1 3dd524903b,G0MQW2 b85a180a7f,G0MQW3 6a1edc2691,G3VYZ1 d278f5ec5e,G3VYZ2 77d631c491,G3VYZ3 7347832b6e,G3YXM-600m 01114694e2,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 3d5c8b147d,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 40eefe38bc,LA5GOA af1a734474,N2NXZ 898a344b66,OK1FCX 78f2615eb1,ON4CDJ ca4e732d84,PA2OHH-30m 10db503170,PA2OHH-40m 9e60132647,S52AS eb6912e00f,SA6BSS1 30480a8c7c,SA6BSS2 95ba32d24b,SA6BSS3 267c71b78b,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 689b4804bd,VK3EDW 88b04ad12f,VK2DDI 895372d28b,VE7IGH 63c7745cc5,WD4AH 1ae9f80dbd,WD4ELG-20 046eee5901,WD4ELG-30 eeab623f4b,WD4ELG-40 1496b3035a,WD4ELG-80 57a285f6b1,WD4ELG-160 6c846a140a,W4HBK1 0deeb58c7e,W4HBK2 4c8251e969,WA5DJJ-10m a5e8671525,WA5DJJ-12m a3d8318e23,WA5DJJ-15m 62bfe9b63a,WA5DJJ-17m 11507e7aa0,WA5DJJ-20m d86b685886,WA5DJJ-30m d002f8f11b,WA5DJJ-40m ab0c867221,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 53f5f523f0,WA5DJJ-160m d7110e19cc,WA5DJJ-630m 9dff212c61,ZL2IK1 19cec91396,ZL2IK2 5522b9cdc3
1809260022,7L1RLL edddf06f25,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC ec55da3839,DL4DTL 60019aa332,EA8BVP1 9907e4d0fb,EA8BVP2 6286bfee04,F6BAZ 3f4737b88f,G0MQW1 2b8995f503,G0MQW2 1ffe01117b,G0MQW3 6a1edc2691,G3VYZ1 d925b81f83,G3VYZ2 9dc8f75c54,G3VYZ3 fb7f0ede41,G3YXM-600m c4c85f0254,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 97ad51c57f,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L c88d33ca30,LA5GOA 020d5c4ca3,N2NXZ 898a344b66,OK1FCX 1537f6a97c,ON4CDJ a0f4a88ee7,PA2OHH-30m 10db503170,PA2OHH-40m 9e60132647,S52AS 3ab0081b83,SA6BSS1 42f435d245,SA6BSS2 dac181fdb6,SA6BSS3 13876c26e0,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 6818fde10d,VK3EDW 4809c8a96f,VK2DDI 895372d28b,VE7IGH 63c7745cc5,WD4AH 31c42a8cc3,WD4ELG-20 c5a91466ea,WD4ELG-30 ad1af7b700,WD4ELG-40 76fb9058f1,WD4ELG-80 436967ffdf,WD4ELG-160 03599b37ac,W4HBK1 06b146c46b,W4HBK2 4c8251e969,WA5DJJ-10m a3e26ceb19,WA5DJJ-12m c276a55415,WA5DJJ-15m c005ac94c6,WA5DJJ-17m 92d63bd6d2,WA5DJJ-20m 9173c4524f,WA5DJJ-30m 2c3d00a6d8,WA5DJJ-40m ab0c867221,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 53f5f523f0,WA5DJJ-160m d7110e19cc,WA5DJJ-630m 9dff212c61,ZL2IK1 38f7a34605,ZL2IK2 5522b9cdc3
1809260032,7L1RLL ef2591f1a9,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC ca9a48c095,DL4DTL 43a572da1d,EA8BVP1 e11037f1a6,EA8BVP2 2641452c36,F6BAZ 3f4737b88f,G0MQW1 cb60f012db,G0MQW2 cbe9fd15b8,G0MQW3 6a1edc2691,G3VYZ1 e7db161a20,G3VYZ2 11e6bbbaa7,G3VYZ3 74b85a16c8,G3YXM-600m 2e0a6d8352,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 4edcd0b908,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 7551ba7746,LA5GOA 020d5c4ca3,N2NXZ 898a344b66,N8NJ 0f19bb21b5,OK1FCX aef35e4a58,ON4CDJ a0f4a88ee7,PA2OHH-30m 10db503170,PA2OHH-40m 0f946441b9,S52AS 63c028164a,SA6BSS1 e8c7557f4b,SA6BSS2 c3b86fb521,SA6BSS3 e129c4aca8,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC dcd1f82ef7,VK3EDW 137b9c958d,VK2DDI 895372d28b,VE7IGH 63c7745cc5,WD4AH 007b9f9e48,WD4ELG-20 178a276dba,WD4ELG-30 26455c1fab,WD4ELG-40 ef17143dd5,WD4ELG-80 4481184bc0,WD4ELG-160 e37c6ee6fb,W4HBK1 6d73e5bbb1,W4HBK2 085b28ce79,WA5DJJ-10m a3e26ceb19,WA5DJJ-12m c276a55415,WA5DJJ-15m c005ac94c6,WA5DJJ-17m 92d63bd6d2,WA5DJJ-20m 9173c4524f,WA5DJJ-30m 2c3d00a6d8,WA5DJJ-40m a5d2c5ee4f,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 6f5f75e320,WA5DJJ-160m df0d1cac74,WA5DJJ-630m 57e11f5160,ZL2IK1 bfe86b88e3,ZL2IK2 5332fa59c4
1809260042,7L1RLL 238e67a8b6,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC 011e4a1113,DL4DTL d0bbd49956,EA8BVP1 e69c43732a,EA8BVP2 2641452c36,F6BAZ 3f4737b88f,G0MQW1 7f84a8eafc,G0MQW2 2c63a016cf,G0MQW3 6a1edc2691,G3VYZ1 7e6027170c,G3VYZ2 f50451292b,G3VYZ3 48db7ba435,G3YXM-600m 6beebb67ce,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF efaba077b3,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 8ef0e09a10,LA5GOA 020d5c4ca3,N2NXZ 898a344b66,N8NJ baedcebc5d,OK1FCX 4583fa98a4,ON4CDJ 0f94d9de9e,PA2OHH-30m 10db503170,PA2OHH-40m 0f946441b9,S52AS 63d7de0138,SA6BSS1 a6fcdc9a1d,SA6BSS2 fbc51e0f09,SA6BSS3 6cae76e226,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 2f0a0520b7,VK3EDW 84dd02c9e0,VK2DDI 895372d28b,VE7IGH 63c7745cc5,WD4AH 2ad024f50e,WD4ELG-20 d33505d10f,WD4ELG-30 00c22905a3,WD4ELG-40 e8c8dda8b2,WD4ELG-80 51a2f733ec,WD4ELG-160 1e089e07cd,W4HBK1 1503fbc47b,W4HBK2 085b28ce79,WA5DJJ-10m ab7c2a98af,WA5DJJ-12m 8eb5ea80ef,WA5DJJ-15m e68dfd62c5,WA5DJJ-17m 5eeef9988c,WA5DJJ-20m a292cd3718,WA5DJJ-30m d054497cba,WA5DJJ-40m a5d2c5ee4f,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 6f5f75e320,WA5DJJ-160m df0d1cac74,WA5DJJ-630m 57e11f5160,ZL2IK1 88251c2858,ZL2IK2 5332fa59c4
1809260052,7L1RLL dbbe16d402,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC f85556889a,DL4DTL 9ed9a0595f,EA8BVP1 a4843c50b9,EA8BVP2 2641452c36,F6BAZ 3f4737b88f,G0MQW1 0ef496f0b5,G0MQW2 517ab7cc11,G0MQW3 6a1edc2691,G3VYZ1 b8ca7e39df,G3VYZ2 2efd387b4e,G3VYZ3 db5d8ff110,G3YXM-600m a00d1b4124,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 3b88a43692,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 5c37e00ee5,LA5GOA 26736e617f,N2NXZ 898a344b66,N8NJ 6c5c1977fb,OK1FCX f5f34a2ef2,ON4CDJ 0f94d9de9e,PA2OHH-30m 10db503170,PA2OHH-40m 0f946441b9,S52AS 63d7de0138,SA6BSS1 dcc8922d21,SA6BSS2 7859d74f4c,SA6BSS3 4c327b3e5a,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC e84dc9bded,VK3EDW 8cb2881792,VK2DDI 895372d28b,VE7IGH 63c7745cc5,WD4AH e3b9c38b4a,WD4ELG-20 20d4f9cd26,WD4ELG-30 e63513cae6,WD4ELG-40 35dd9bf1c0,WD4ELG-80 38efb63ddb,WD4ELG-160 fd8e0cd2a3,W4HBK1 f79aab1245,W4HBK2 085b28ce79,WA5DJJ-10m ab7c2a98af,WA5DJJ-12m 8eb5ea80ef,WA5DJJ-15m e68dfd62c5,WA5DJJ-17m 5eeef9988c,WA5DJJ-20m a292cd3718,WA5DJJ-30m d054497cba,WA5DJJ-40m 378ee3c9b6,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m c190969471,WA5DJJ-160m f7668c8d28,WA5DJJ-630m b3d4883f73,ZL2IK1 1d1012df99,ZL2IK2 5332fa59c4
1809260102,7L1RLL f1f6596b3d,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC bec3be67b4,DL4DTL bfc27692ac,EA8BVP1 3361bfdc14,EA8BVP2 c189b50ff4,F6BAZ 3f4737b88f,G0MQW1 56b3904760,G0MQW2 35a86db5fc,G0MQW3 6a1edc2691,G3VYZ1 4779843806,G3VYZ2 79dbe4aa75,G3VYZ3 9c6678db6c,G3YXM-600m 33bc082091,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 2ba032e812,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 5bcf3d4ff8,LA5GOA 26736e617f,N2NXZ 898a344b66,N8NJ f2e9e48042,OK1FCX 30f386e63a,ON4CDJ 0d0a75c21a,PA2OHH-30m 10db503170,PA2OHH-40m 0f946441b9,S52AS b9fa97b3a7,SA6BSS1 9c917df855,SA6BSS2 939fa634d7,SA6BSS3 6d1c6f1da2,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC a7a6f55399,VK3EDW a6b96bc295,VK2DDI 895372d28b,VE7IGH 63c7745cc5,WD4AH d8c22665c7,WD4ELG-20 1ebaf3a1d0,WD4ELG-30 4cbe03e9c3,WD4ELG-40 f5dfb0768f,WD4ELG-80 81c4661883,WD4ELG-160 eb0afb40c4,W4HBK1 ed667cf408,W4HBK2 0d7ea346a5,WA5DJJ-10m 0c2d874f0b,WA5DJJ-12m f0ed68e567,WA5DJJ-15m eddd8097c7,WA5DJJ-17m bc0e2325fe,WA5DJJ-20m e31f0d90e8,WA5DJJ-30m acb77ea57e,WA5DJJ-40m 378ee3c9b6,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m c190969471,WA5DJJ-160m f7668c8d28,WA5DJJ-630m b3d4883f73,ZL2IK1 5ffddd1fb6,ZL2IK2 cb8a643b3f
1809260112,7L1RLL 01c58a2623,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC 5bbc51d7e8,DL4DTL ffa0db60e3,EA8BVP1 c56949e38a,EA8BVP2 c189b50ff4,F6BAZ 3f4737b88f,G0MQW1 b04b316e3a,G0MQW2 2556dd95b9,G0MQW3 6a1edc2691,G3VYZ1 4edb2de4e3,G3VYZ2 0bcf9c61f9,G3VYZ3 26ef5855ac,G3YXM-600m 7b5f4f3bfb,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 10dbf3e2b3,LA5GOA 93468d4f63,N2NXZ 898a344b66,N8NJ bcf8cf32d1,OK1FCX 7098094693,ON4CDJ 0d0a75c21a,PA2OHH-30m 10db503170,PA2OHH-40m 0f946441b9,S52AS 38f9a034ce,SA6BSS1 8da6c7b843,SA6BSS2 e076c50131,SA6BSS3 bc9a2ad2d5,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 31b1ff03ed,VK3EDW 9cd0b806eb,VK2DDI 895372d28b,VE7IGH 63c7745cc5,WD4AH 780fcc0a9d,WD4ELG-20 6186d8e286,WD4ELG-30 6380eb0d8b,WD4ELG-40 bec213ef24,WD4ELG-80 b51c1be9e2,WD4ELG-160 dce227daa0,W4HBK1 1302488b50,W4HBK2 0d7ea346a5,WA5DJJ-10m 0c2d874f0b,WA5DJJ-12m f0ed68e567,WA5DJJ-15m eddd8097c7,WA5DJJ-17m bc0e2325fe,WA5DJJ-20m e31f0d90e8,WA5DJJ-30m acb77ea57e,WA5DJJ-40m 85a287f899,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m f52eaa49f5,WA5DJJ-160m f00998be65,WA5DJJ-630m ad98cd92c4,ZL2IK1 6186c826e2,ZL2IK2 cb8a643b3f
1809260122,7L1RLL 8497ce85c3,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC a5b1b8539c,DL4DTL 1966a30f4a,EA8BVP1 227b5c7629,EA8BVP2 c189b50ff4,F6BAZ 3f4737b88f,G0MQW1 a5031789b4,G0MQW2 e1bf5de877,G0MQW3 6a1edc2691,G3VYZ1 b7a6b4c7e0,G3VYZ2 b37e43bad3,G3VYZ3 bff99ffbad,G3YXM-600m 111e448015,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 4e4eda03e8,LA5GOA 93468d4f63,N2NXZ 898a344b66,N8NJ 78cfff1fef,OK1FCX 0e6d782e99,ON4CDJ b40f29be23,PA2OHH-30m 10db503170,PA2OHH-40m 0f946441b9,S52AS 1b4742c809,SA6BSS1 694daca1ef,SA6BSS2 ef1edc10cc,SA6BSS3 3f274ac103,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 450c3e3204,VK3EDW 67ae4a26ee,VK2DDI 895372d28b,VE7IGH a9b7fcb2b0,WD4AH 1dfa27f2b3,WD4ELG-20 79d9c6fd68,WD4ELG-30 81760620fe,WD4ELG-40 b9ced14db1,WD4ELG-80 c074ca6ad7,WD4ELG-160 f1cb7936e4,W4HBK1 92479c36fc,W4HBK2 0d7ea346a5,WA5DJJ-10m 0aa3bcd62d,WA5DJJ-12m c4a3bce862,WA5DJJ-15m 043fa1b60e,WA5DJJ-17m 8bf97a629f,WA5DJJ-20m 7cc0f0037e,WA5DJJ-30m 4810db9329,WA5DJJ-40m 85a287f899,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m f52eaa49f5,WA5DJJ-160m f00998be65,WA5DJJ-630m ad98cd92c4,ZL2IK1 64265120db,ZL2IK2 cb8a643b3f
1809260132,7L1RLL 2da35f47b2,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP d41d8cd98f,DK7FC 8a4ac774b4,DL4DTL 6dc7556581,EA8BVP1 4bdcd3e8cd,EA8BVP2 a2609d7140,F6BAZ 3f4737b88f,G0MQW1 92f09bb1d8,G0MQW2 1cff8816d7,G0MQW3 6a1edc2691,G3VYZ1 094fee9040,G3VYZ2 e68cf0df66,G3VYZ3 7eebcbbf22,G3YXM-600m 16013656a1,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L f6badab01b,LA5GOA 0d929ac940,N2NXZ 898a344b66,N8NJ c5b946c71d,OK1FCX cd48ab913f,ON4CDJ b40f29be23,PA2OHH-30m 10db503170,PA2OHH-40m 0f946441b9,S52AS f4f0c1f0b7,SA6BSS1 d0c1703214,SA6BSS2 17647aebc0,SA6BSS3 56c8238c6a,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC d797c44213,VK3EDW c621e04746,VK2DDI 895372d28b,VE7IGH a9b7fcb2b0,WD4AH d4b519de63,WD4ELG-20 1449f1ec1a,WD4ELG-30 b419355c2f,WD4ELG-40 434617dd55,WD4ELG-80 de6dfed3b7,WD4ELG-160 5e259f036e,W4HBK1 6d7d502eda,W4HBK2 5e558eeec3,WA5DJJ-10m 0aa3bcd62d,WA5DJJ-12m c4a3bce862,WA5DJJ-15m 043fa1b60e,WA5DJJ-17m 8bf97a629f,WA5DJJ-20m 7cc0f0037e,WA5DJJ-30m 4810db9329,WA5DJJ-40m 5a988085f1,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m c8ef317677,WA5DJJ-160m c96f7f8bb6,WA5DJJ-630m eef0e9e56c,ZL2IK1 00deaf8057,ZL2IK2 2b528afb62
1809260142,7L1RLL 5be1677722,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC ba745d65a7,DL4DTL 9379c15e3c,EA8BVP1 53ff358a56,EA8BVP2 a2609d7140,F6BAZ 3f4737b88f,G0MQW1 e923dfdbb1,G0MQW2 39458fc741,G0MQW3 6a1edc2691,G3VYZ1 12c38337d7,G3VYZ2 dbadeebe91,G3VYZ3 937e490f72,G3YXM-600m 10188fbadf,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L d0d908d406,LA5GOA 0d929ac940,N2NXZ 898a344b66,N8NJ beabc8ad42,OK1FCX 4f6446f854,ON4CDJ 49d2ddfab4,PA2OHH-30m 10db503170,PA2OHH-40m 0f946441b9,S52AS 71421b651b,SA6BSS1 997710d33b,SA6BSS2 08ce4c132a,SA6BSS3 54163e4242,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC a6491fdbd2,VK3EDW 10e5c2b89d,VK2DDI 895372d28b,VE7IGH a9b7fcb2b0,WD4AH b1a87fb1aa,WD4ELG-20 4bb4a9a69d,WD4ELG-30 2c5f7fb4fb,WD4ELG-40 6d5c6949a3,WD4ELG-80 db6c1f56e9,WD4ELG-160 21a6a31739,W4HBK1 89d499fdcf,W4HBK2 5e558eeec3,WA5DJJ-10m d0eee31a50,WA5DJJ-12m 8566ae3852,WA5DJJ-15m 3413677732,WA5DJJ-17m 565c566b9f,WA5DJJ-20m c914e1f684,WA5DJJ-30m d1a7a9444a,WA5DJJ-40m 5a988085f1,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m c8ef317677,WA5DJJ-160m c96f7f8bb6,WA5DJJ-630m eef0e9e56c,ZL2IK1 b686c7998d,ZL2IK2 2b528afb62
1809260152,7L1RLL 35f39a1108,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC c60b06aefe,DL4DTL dd68882e7c,EA8BVP1 24fd7264f2,EA8BVP2 a2609d7140,F6BAZ 3f4737b88f,G0MQW1 d403f35222,G0MQW2 ee0dda87a3,G0MQW3 6a1edc2691,G3VYZ1 2a3ec3ad08,G3VYZ2 8de64eb5a9,G3VYZ3 3ce3163264,G3YXM-600m cb4cf7ed49,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 54b6d45625,LA5GOA 1036981d0b,N2NXZ 898a344b66,N8NJ e138a176e3,OK1FCX 19f27385a1,ON4CDJ 49d2ddfab4,PA2OHH-30m 10db503170,PA2OHH-40m 0f946441b9,S52AS 6cda0b36ea,SA6BSS1 d495e26f75,SA6BSS2 cf8d329427,SA6BSS3 ffc01fb1a4,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC c7e8ea1699,VK3EDW 6c166009b6,VK2DDI 895372d28b,VE7IGH a9b7fcb2b0,WD4AH 1419be19a2,WD4ELG-20 290e7121cc,WD4ELG-30 55c4c11eef,WD4ELG-40 c13aca2131,WD4ELG-80 0a4c810dd9,WD4ELG-160 ea84046c12,W4HBK1 9ea32852a1,W4HBK2 5e558eeec3,WA5DJJ-10m d0eee31a50,WA5DJJ-12m 8566ae3852,WA5DJJ-15m 3413677732,WA5DJJ-17m 565c566b9f,WA5DJJ-20m c914e1f684,WA5DJJ-30m d1a7a9444a,WA5DJJ-40m 83ec48b82d,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 4e2f17af3e,WA5DJJ-160m 628934ffb5,WA5DJJ-630m 96cded08d8,ZL2IK1 4cc3989b77,ZL2IK2 2b528afb62
1809260202,7L1RLL c36370555f,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC 41fe73acf8,DL4DTL d241e75785,EA8BVP1 86796fec88,EA8BVP2 e544394f4f,F6BAZ 3f4737b88f,G0MQW1 0e7d0d3aaf,G0MQW2 e761c14808,G0MQW3 6a1edc2691,G3VYZ1 ba4def6a0c,G3VYZ2 c13bfef40d,G3VYZ3 54653a9d23,G3YXM-600m f074a12bc4,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 6f21e6d932,LA5GOA 1036981d0b,N2NXZ 898a344b66,N8NJ b7a2cf0680,OK1FCX 5e14c1e77a,ON4CDJ 4980e04ce2,PA2OHH-30m 10db503170,PA2OHH-40m 0f946441b9,S52AS c127765f45,SA6BSS1 78de1f82db,SA6BSS2 e43114816c,SA6BSS3 0d0a100bd6,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 9f4f7a7ed4,VK3EDW 1c243d03bc,VK2DDI 895372d28b,VE7IGH a9b7fcb2b0,WD4AH b1ddbbb0c2,WD4ELG-20 e0f5515277,WD4ELG-30 1c4bd6be25,WD4ELG-40 597e429714,WD4ELG-80 67a70289df,WD4ELG-160 0aea22243e,W4HBK1 9a42d91197,W4HBK2 fe87995dfb,WA5DJJ-10m 967baa42b6,WA5DJJ-12m f0f34f78e7,WA5DJJ-15m c334e95629,WA5DJJ-17m b96ec932f9,WA5DJJ-20m 0da4c5401a,WA5DJJ-30m 98eb87ebac,WA5DJJ-40m 83ec48b82d,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 4e2f17af3e,WA5DJJ-160m 628934ffb5,WA5DJJ-630m 96cded08d8,ZL2IK1 e991b329f6,ZL2IK2 7a5d702b62
